City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind Speed,Country,Date
nizhneudinsk,54.91,99.03,272.08,89,100,1.68,RU,1604081644
kapaa,22.08,-159.32,293.71,88,40,3.6,US,1604081505
mount isa,-20.73,139.5,294.15,19,0,5.1,AU,1604081645
bengkulu,-3.8,102.27,297.7,87,99,1.69,ID,1604081645
yellowknife,62.46,-114.35,265.93,94,100,0.45,CA,1604081285
dikson,73.51,80.55,262.25,95,100,12.78,RU,1604081541
acapulco,16.86,-99.89,304.15,70,75,2.26,MX,1604081646
ushuaia,-54.8,-68.3,283.15,71,75,12.3,AR,1604081634
longyearbyen,78.22,15.64,265.15,72,0,1.5,SJ,1604081646
mahajanga,-15.72,46.32,303.15,33,20,4.6,MG,1604081647
rikitea,-23.12,-134.97,297.31,69,62,3.58,PF,1604081647
bathsheba,13.22,-59.52,301.15,78,75,8.7,BB,1604081647
bandarbeyla,9.49,50.81,299.35,82,40,6.69,SO,1604081589
ribeira grande,38.52,-28.7,294.15,88,75,9.3,PT,1604081648
kungurtug,50.6,97.52,268.05,86,100,1.72,RU,1604081648
puerto ayora,-0.74,-90.35,300.15,65,40,9.3,EC,1604081648
upernavik,72.79,-56.15,267.12,96,99,1.85,GL,1604081648
lubu,23.17,112.28,297.59,99,10,1.03,CN,1604081649
vaini,-21.2,-175.2,295.15,78,40,4.1,TO,1604081649
kashmor,28.43,69.58,295.49,22,0,1.35,PK,1604081649
hamilton,39.18,-84.53,282.59,61,75,4.6,US,1604081486
hobart,-42.88,147.33,279.15,93,40,1.5,AU,1604081510
saint anthony,45.02,-93.22,279.26,55,90,3.1,US,1604081503
sterling,39.01,-77.43,284.82,62,90,4.6,US,1604081651
adrar,20.5,-10.07,305.35,13,94,2.48,MR,1604081652
mataura,-46.19,168.86,285.93,97,100,2.24,NZ,1604081652
jiuquan,39.74,98.52,274.1,79,0,1.1,CN,1604081653
chissamba,-12.17,17.33,292.75,84,85,2.3,AO,1604081653
waipawa,-41.41,175.52,290.15,88,96,9.8,NZ,1604081654
faanui,-16.48,-151.75,299.26,78,0,5.22,PF,1604081640
shinshiro,34.9,137.5,284.82,57,0,0.89,JP,1604081655
jamestown,42.1,-79.24,276.48,93,90,3.6,US,1604081431
algiers,36.75,3.04,291.15,77,0,2.1,DZ,1604081534
busselton,-33.65,115.33,289.82,57,23,1.35,AU,1604081656
morgan city,29.7,-91.21,288.71,71,90,2.6,US,1604081636
hambantota,6.12,81.12,299.63,79,74,4.69,LK,1604081656
sipe sipe,-17.45,-66.38,295.15,37,20,3.1,BO,1604081657
mugan,35.94,101.38,275.63,79,24,2.03,CN,1604081657
husavik,66.04,-17.34,276.15,93,90,2.1,IS,1604081657
anori,-3.77,-61.64,307.66,50,89,1.59,BR,1604081657
khatanga,71.97,102.5,250.68,84,0,2.92,RU,1604081637
port alfred,-33.59,26.89,289.12,59,87,1.74,ZA,1604081658
borogontsy,62.67,131.17,249.48,90,21,0.85,RU,1604081658
atuona,-9.8,-139.03,298.29,74,60,5.94,PF,1604081659
luderitz,-26.65,15.16,290.79,48,73,13.66,NA,1604081659
avarua,-21.21,-159.78,296.15,78,100,2.6,CK,1604081659
bonfim,3.08,-59.95,306.36,52,66,3.84,BR,1604081659
cabo san lucas,22.89,-109.91,302.59,61,40,0.9,MX,1604081429
hilo,19.73,-155.09,298.71,88,75,2.1,US,1604081586
rio gallegos,-51.62,-69.22,291.15,36,40,13.4,AR,1604081660
cape town,-33.93,18.42,288.71,62,0,11.3,ZA,1604081412
weymouth,42.22,-70.94,273.71,92,90,7.7,US,1604081661
lagoa,39.05,-27.98,293.65,89,100,12.53,PT,1604081655
rio grande,-32.03,-52.1,293.71,63,41,3.13,BR,1604081492
punta arenas,-53.15,-70.92,285.93,66,75,14.4,CL,1604081513
canutama,-6.53,-64.38,303.7,59,92,2.02,BR,1604081662
yatou,37.15,122.38,284.27,68,15,1.93,CN,1604081662
hithadhoo,-0.6,73.08,301.58,76,25,4.63,MV,1604081662
batagay,67.63,134.63,254.06,91,100,1.12,RU,1604081663
klyuchi,52.27,79.17,274.65,94,100,3.14,RU,1604081663
esperance,-33.87,121.9,287.15,71,48,6.7,AU,1604081664
albany,42.6,-73.97,274.82,87,100,3.03,US,1604081523
pevek,69.7,170.31,268.33,93,80,3.24,RU,1604081529
palimbang,6.21,124.19,299.38,77,91,1.08,PH,1604081664
bambous virieux,-20.34,57.76,294.15,52,40,6.2,MU,1604081664
isangel,-19.55,169.27,296.82,81,73,4.78,VU,1604081665
klaksvik,62.23,-6.59,281.15,81,34,8.2,FO,1604081656
juegang,32.32,121.19,288.71,99,0,1.7,CN,1604081666
castro,-24.79,-50.01,286.4,93,100,4.92,BR,1604081516
loiza,18.43,-65.88,304.15,62,40,9.3,PR,1604081575
leningradskiy,69.38,178.42,264.84,93,52,8.53,RU,1604081668
kavieng,-2.57,150.8,300.74,77,95,3.58,PG,1604081668
new norfolk,-42.78,147.06,279.82,72,4,1.11,AU,1604081635
nipawin,53.37,-104.0,269.15,92,90,7.2,CA,1604081670
kaitangata,-46.28,169.85,287.59,95,100,1.79,NZ,1604081652
saint-philippe,-21.36,55.77,294.15,68,75,7.7,RE,1604081635
san cristobal,7.77,-72.22,304.15,58,40,4.6,VE,1604081670
homer,59.64,-151.55,270.37,57,1,3.1,US,1604081671
ilulissat,69.22,-51.1,266.15,67,75,1.0,GL,1604081671
qaanaaq,77.48,-69.36,263.75,83,100,2.6,GL,1604081671
sambava,-14.27,50.17,295.94,77,41,7.3,MG,1604081671
iqaluit,63.75,-68.51,257.15,65,20,2.6,CA,1604081672
buchanan,5.88,-10.05,301.15,83,75,4.1,LR,1604081672
lata,40.16,-8.33,293.15,64,0,1.5,PT,1604081672
port lincoln,-34.73,135.87,286.67,84,93,5.17,AU,1604081673
kavaratti,10.57,72.64,301.17,75,26,4.18,IN,1604081673
sioux lookout,50.1,-91.92,271.15,79,90,4.6,CA,1604081673
norman wells,65.28,-126.83,262.15,92,75,1.0,CA,1604081673
tura,25.52,90.22,296.34,79,8,1.9,IN,1604081674
turukhansk,65.82,87.98,256.97,91,58,3.42,RU,1604081640
bredasdorp,-34.53,20.04,285.15,62,0,2.1,ZA,1604081674
hermanus,-34.42,19.23,285.93,75,0,5.35,ZA,1604081675
vuktyl,63.86,57.31,275.23,92,100,6.47,RU,1604081675
matara,5.95,80.54,298.63,85,51,2.98,LK,1604081675
honningsvag,70.98,25.97,275.15,64,75,6.2,NO,1604081676
laguna,38.42,-121.42,292.04,36,1,1.65,US,1604081676
kloulklubed,7.04,134.26,299.15,88,75,3.6,PW,1604081676
roma,43.21,-75.46,278.15,60,40,4.6,US,1604081404
udalguri,26.77,92.13,295.35,59,10,2.1,IN,1604081656
stornoway,58.21,-6.39,281.15,81,40,6.2,GB,1604081677
shiyan,32.65,110.78,287.45,87,100,1.1,CN,1604081677
tomatlan,19.93,-105.25,303.9,62,69,2.32,MX,1604081678
bluff,-46.6,168.33,285.93,97,100,2.24,NZ,1604081632
berlevag,70.86,29.09,274.15,86,90,10.8,NO,1604081678
tiksi,71.69,128.87,261.43,96,100,2.72,RU,1604081669
saldanha,-33.01,17.94,289.15,55,0,8.7,ZA,1604081519
kahului,20.89,-156.47,298.15,78,40,4.6,US,1604081679
sao filipe,14.9,-24.5,302.0,53,58,7.77,CV,1604081679
port elizabeth,-33.92,25.57,286.15,71,0,1.5,ZA,1604081680
victoria,22.29,114.16,296.48,78,62,7.77,HK,1604081585
vao,-22.67,167.48,296.03,85,20,5.75,NC,1604081536
caluquembe,-13.78,14.68,291.96,81,99,1.89,AO,1604081682
cidreira,-30.18,-50.21,291.83,61,64,4.55,BR,1604081643
carnarvon,-24.87,113.63,296.15,78,90,3.1,AU,1604081683
ratnagiri,16.98,73.3,299.29,73,51,2.6,IN,1604081683
wanaka,-44.7,169.15,284.66,83,100,2.05,NZ,1604081684
saint-pierre,-21.34,55.48,294.15,68,75,7.7,RE,1604081684
quimper,48.0,-4.1,287.15,93,90,4.1,FR,1604081685
